iid,gender,age,match,like,prob,like_o,prob_o,age_o,age_gap,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,fitness_sport,fine_arts,entertainment,social_nightlife,outdoor_wellness,condtn,race,race_o
1,0,-1.5973602685710164,0,0.7000000000000001,0.6000000000000001,0.7000000000000001,0.4,0.18003736625591452,0.7601960623419403,0.35000000000000003,0.3333333333333333,0.4,0.4,0.0,0.16666666666666666,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,0,0.7000000000000001,0.5,0.8,0.4,-1.222914309869791,-0.8705822435630182,0.6,0.0,0.0,0.8,0.0,0.0,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,1,0.7000000000000001,0.5,1.0,1.0,-1.222914309869791,-0.8705822435630182,0.19,0.3,0.38,0.36,0.2641509433962264,0.4,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,4.0
1,0,-1.5973602685710164,1,0.7000000000000001,0.6000000000000001,0.7000000000000001,0.7000000000000001,-0.9423239746446495,-0.5444265823820265,0.3,0.08333333333333333,0.3,0.8,0.09433962264150943,0.16666666666666666,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,1,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,-0.661733639419509,-0.21827092120103478,0.3,0.16666666666666666,0.4,0.2,0.18867924528301885,0.6666666666666666,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,3.0
1,0,-1.5973602685710164,0,0.6000000000000001,0.5,0.7000000000000001,0.6000000000000001,-0.3811433041943686,0.1078847399799569,0.5,0.0,0.6,0.2,0.0,0.3333333333333333,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,0,0.6000000000000001,0.5,0.2,0.1,1.021808371931337,1.7386630458849153,0.35000000000000003,0.25,0.5,0.2,0.09433962264150943,0.3333333333333333,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.5,0.18003736625591452,0.7601960623419403,0.3333,0.18516666666666665,0.22219999999999998,0.22219999999999998,0.20962264150943394,0.7406666666666666,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,1,0.7000000000000001,0.7000000000000001,0.65,0.8,0.4606277014810549,1.0863517235229319,0.5,0.0,0.5,0.2,0.0,0.5,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
1,0,-1.5973602685710164,0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,-0.661733639419509,-0.21827092120103478,1.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.20253164556962022,0.8983050847457628,0.36,0.2222222222222222,1,4.0,2.0
2,0,-0.6903531455023855,0,0.6000000000000001,0.4,0.7000000000000001,0.2,0.18003736625591452,-0.21827092120103478,0.35000000000000003,0.3333333333333333,0.4,0.4,0.0,0.16666666666666666,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.7000000000000001,0.30000000000000004,0.8,0.4,-1.222914309869791,-0.5444265823820265,0.6,0.0,0.0,0.8,0.0,0.0,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.6000000000000001,0.7000000000000001,1.0,1.0,-1.222914309869791,-0.5444265823820265,0.19,0.3,0.38,0.36,0.2641509433962264,0.4,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,4.0
2,0,-0.6903531455023855,1,0.7000000000000001,0.8,0.9,0.7000000000000001,-0.9423239746446495,-0.8705822435630182,0.3,0.08333333333333333,0.3,0.8,0.09433962264150943,0.16666666666666666,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.8,0.6000000000000001,1.0,0.1,-0.661733639419509,-1.1967379047440099,0.3,0.16666666666666666,0.4,0.2,0.18867924528301885,0.6666666666666666,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,3.0
2,0,-0.6903531455023855,0,0.6000000000000001,0.5,0.7000000000000001,0.5,-0.3811433041943686,-0.8705822435630182,0.5,0.0,0.6,0.2,0.0,0.3333333333333333,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.8,0.7000000000000001,0.4,0.30000000000000004,1.021808371931337,0.7601960623419403,0.35000000000000003,0.25,0.5,0.2,0.09433962264150943,0.3333333333333333,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.5,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.18003736625591452,-0.21827092120103478,0.3333,0.18516666666666665,0.22219999999999998,0.22219999999999998,0.20962264150943394,0.7406666666666666,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,1,0.5,0.6000000000000001,0.8,0.8,0.4606277014810549,0.1078847399799569,0.5,0.0,0.5,0.2,0.0,0.5,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
2,0,-0.6903531455023855,0,0.8,0.7000000000000001,0.6000000000000001,0.9,-0.661733639419509,-1.1967379047440099,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5949367088607593,0.5254237288135593,0.68,0.1111111111111111,1,2.0,2.0
3,0,-0.38801743781284187,0,0.8,0.7000000000000001,0.5,0.2,0.18003736625591452,-0.5444265823820265,0.35000000000000003,0.3333333333333333,0.4,0.4,0.0,0.16666666666666666,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,2.0
3,0,-0.38801743781284187,0,0.8,0.7000000000000001,0.7000000000000001,0.30000000000000004,-1.222914309869791,-0.21827092120103478,0.6,0.0,0.0,0.8,0.0,0.0,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,2.0
3,0,-0.38801743781284187,0,0.8,0.7000000000000001,1.0,1.0,-1.222914309869791,-0.21827092120103478,0.19,0.3,0.38,0.36,0.2641509433962264,0.4,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,4.0
3,0,-0.38801743781284187,0,0.8,0.7000000000000001,0.7000000000000001,0.7000000000000001,-0.9423239746446495,-0.5444265823820265,0.3,0.08333333333333333,0.3,0.8,0.09433962264150943,0.16666666666666666,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,2.0
3,0,-0.38801743781284187,0,0.9,0.5,0.6000000000000001,0.1,-0.661733639419509,-0.8705822435630182,0.3,0.16666666666666666,0.4,0.2,0.18867924528301885,0.6666666666666666,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,3.0
3,0,-0.38801743781284187,0,0.8,0.5,0.6000000000000001,0.7000000000000001,-0.3811433041943686,-1.1967379047440099,0.5,0.0,0.6,0.2,0.0,0.3333333333333333,0.5555555555555556,0.5443037974683543,0.5593220338983051,0.44000000000000006,0.7222222222222221,1,2.0,2.0
