feature,importance,rank
intel3_1_o,0.04379136,1
date,0.030929819,2
go_out_o,0.029322948,3
date_o,0.024655217,4
fun3_1,0.024463825,5
gaming_o,0.0215253,6
go_out,0.01978681,7
intel5_1,0.019223884,8
fun3_1_o,0.018770738,9
movies,0.016351186,10
intel3_1,0.016173923,11
movies_o,0.015279261,12
imprace_o,0.014209589,13
age_gap_calc,0.014148368,14
gaming,0.013406607,15
imprace,0.012393703,16
career_c,0.01188594,17
attr3_1,0.01128611,18
race,0.01004263,19
tvsports,0.010001862,20
tvsports_o,0.009958488,21
shar1_1_o,0.009479954,22
reading_o,0.009218429,23
sinc5_1_o,0.00921653,24
tv,0.009122957,25
music,0.008874522,26
clubbing,0.008450942,27
reading,0.008387626,28
art_o,0.0083501,29
intel1_1_o,0.008316309,30
sinc2_1_o,0.0074909492,31
art,0.0074496306,32
fun4_1,0.0074411677,33
career_c_o,0.007330524,34
tv_o,0.007264548,35
amb3_1,0.0072213183,36
imprelig,0.00720865,37
intel2_1_o,0.007182495,38
sinc4_1,0.00712806,39
expnum_o,0.0070960578,40
yoga_o,0.007075851,41
amb3_1_o,0.007072794,42
attr3_1_o,0.007028193,43
clubbing_o,0.007027122,44
yoga,0.0068852496,45
intel5_1_o,0.0068045678,46
sinc3_1,0.0067159166,47
fun5_1_o,0.006612088,48
attr4_1_o,0.0064570066,49
exphappy_o,0.0064284205,50
music_o,0.0063835406,51
imprelig_o,0.006325897,52
race_o,0.0062471563,53
sinc3_1_o,0.0061636614,54
intel4_1_o,0.0061053634,55
intel1_1,0.00598674,56
theater,0.0059048044,57
theater_o,0.005891257,58
age,0.005858069,59
attr4_1,0.0057818973,60
fun4_1_o,0.005673486,61
fun2_1,0.005668967,62
sinc2_1,0.005582701,63
attr_surplus_31_p,0.005537235,64
exphappy,0.0054856203,65
expnum,0.005459396,66
goal,0.0053765383,67
intel2_1,0.0053655203,68
fun5_1,0.0053475895,69
shar1_1,0.005334932,70
intel_surplus_51_p,0.005308509,71
sinc4_1_o,0.0052544987,72
attr1_1,0.005244765,73
attr5_1,0.005209418,74
concerts,0.0051899683,75
sinc1_1,0.0051656063,76
amb4_1,0.0051390245,77
attr1_1_o,0.0051281783,78
fun1_1,0.004950705,79
age_o,0.004929942,80
attr2_1_o,0.0049142893,81
attr_surplus_51_p,0.0048904475,82
attr2_1,0.004865411,83
shar4_1_o,0.004847182,84
dining_o,0.0048379567,85
sports,0.0047723227,86
amb2_1_o,0.004729785,87
museums,0.004725804,88
amb5_1_o,0.0047234637,89
sports_o,0.004683997,90
fun1_1_o,0.0046450766,91
amb2_1,0.0046429895,92
shar4_1,0.0046219244,93
attr_surplus_31_s,0.004601095,94
hiking,0.0045581115,95
fun2_1_o,0.004543162,96
attr_surplus_51_s,0.0045308876,97
fun_surplus_31_s,0.0044870954,98
hiking_o,0.004461057,99
amb_surplus_31_p,0.0044477913,100
amb4_1_o,0.0044409586,101
amb5_1,0.004366147,102
sinc1_1_o,0.0043174215,103
concerts_o,0.004292656,104
amb1_1,0.004281824,105
museums_o,0.004266824,106
shar2_1_o,0.0042045694,107
exercise_o,0.004199641,108
shopping_o,0.004179248,109
dining,0.0041207117,110
exercise,0.00411429,111
mean_hobby_gap,0.004103337,112
shopping,0.0040845564,113
goal_o,0.004018756,114
sinc_surplus_31_s,0.003954972,115
int_corr,0.0039312607,116
fun_surplus_51_s,0.003897231,117
fun_surplus_31_p,0.0038796626,118
amb1_1_o,0.0038292487,119
sinc_surplus_51_s,0.0038133513,120
intel4_1,0.0037869024,121
sinc5_1,0.0037370317,122
attr5_1_o,0.0037262433,123
amb_surplus_31_s,0.0035844548,124
intel_surplus_51_s,0.00352312,125
fun_surplus_51_p,0.0034908007,126
shar2_1,0.0033762811,127
sinc_surplus_51_p,0.0033709623,128
intel_surplus_31_s,0.0033242465,129
amb_surplus_51_s,0.0031521944,130
sinc_surplus_31_p,0.003104887,131
amb_surplus_51_p,0.0029077474,132
samerace,0.0028587044,133
gender,0.002658063,134
intel_surplus_31_p,0.0026253117,135
condtn,0.0,136
gender_o,0.0,137
