iter	Logloss
0	0.6919149703
1	0.6909484574
2	0.6900276502
3	0.6886644677
4	0.6875369047
5	0.6861737931
6	0.6851922389
7	0.6841793964
8	0.6827163935
9	0.6819251282
10	0.6807223099
11	0.6792949142
12	0.6784244524
13	0.676852272
14	0.6763390725
15	0.6753329135
16	0.6747097337
17	0.6741833488
18	0.6733923768
19	0.6724758569
20	0.6714510636
21	0.670562192
22	0.66962836
23	0.6689164406
24	0.6678274231
25	0.6668902493
26	0.6658107295
27	0.6653344522
28	0.6646769988
29	0.6633374953
30	0.662289853
31	0.6615755659
32	0.6608480877
33	0.6600434884
34	0.6591466002
35	0.6583100765
36	0.6574255761
37	0.6561100368
38	0.6550289684
39	0.6543301005
40	0.6537457609
41	0.6531495173
42	0.6525843773
43	0.6518412089
44	0.6505351501
45	0.6496473783
46	0.6486638078
47	0.6476236807
48	0.6471271131
49	0.6464301585
50	0.6457291913
51	0.6449904626
52	0.6443407043
53	0.6437118609
54	0.6430575116
55	0.642116459
56	0.6414262353
57	0.640583156
58	0.6397882383
59	0.639292303
60	0.6387436323
61	0.6383838523
62	0.6379249149
63	0.6373472022
64	0.6365035377
65	0.6359542851
66	0.6350563607
67	0.6339256468
68	0.633262582
69	0.6324801037
70	0.6317322089
71	0.6311202021
72	0.630329531
73	0.6293113028
74	0.6285738398
75	0.628167902
76	0.6275510028
77	0.6270075273
78	0.626448931
79	0.6259928991
80	0.6255276678
81	0.6250273506
82	0.6245276542
83	0.623745132
84	0.6232076432
85	0.6227582696
86	0.6220415813
87	0.6216438829
88	0.6209555325
89	0.6204571031
90	0.620050331
91	0.6195226478
92	0.6187220242
93	0.6178899763
94	0.617512603
95	0.6169218679
96	0.6161696041
97	0.6153919829
98	0.6147047299
99	0.6144228707
