iter	Passed	Remaining
0	69	6853
1	78	3855
2	88	2866
3	98	2369
4	109	2072
5	119	1866
6	129	1723
7	139	1603
8	150	1517
9	159	1435
10	168	1366
11	178	1306
12	187	1257
13	196	1209
14	206	1167
15	217	1140
16	228	1116
17	239	1090
18	249	1061
19	259	1038
20	270	1017
21	280	994
22	291	974
23	301	955
24	311	933
25	321	914
26	332	898
27	344	885
28	355	871
29	365	853
30	375	836
31	387	823
32	399	811
33	409	794
34	421	783
35	432	768
36	445	757
37	456	744
38	465	727
39	474	711
40	482	694
41	492	680
42	501	664
43	510	649
44	520	636
45	530	622
46	540	609
47	549	595
48	559	581
49	569	569
50	578	555
51	587	542
52	597	530
53	607	517
54	618	505
55	627	492
56	637	480
57	646	468
58	656	455
59	665	443
60	675	431
61	683	419
62	692	406
63	703	395
64	712	383
65	721	371
66	730	359
67	740	348
68	749	336
69	758	325
70	767	313
71	777	302
72	786	291
73	796	279
74	805	268
75	814	257
76	824	246
77	833	234
78	843	224
79	853	213
80	863	202
81	873	191
82	881	180
83	891	169
84	900	158
85	910	148
86	920	137
87	930	126
88	941	116
89	950	105
90	959	94
91	969	84
92	978	73
93	988	63
94	996	52
95	1005	41
96	1014	31
97	1024	20
98	1033	10
99	1042	0
