iter	Logloss
0	0.6412781334
1	0.5839515401
2	0.5492751201
3	0.5205382614
4	0.5019572487
5	0.4847689986
6	0.4682033998
7	0.4556922434
8	0.4402237895
9	0.4318026127
10	0.415571778
11	0.4028218726
12	0.3957457004
13	0.3860146049
14	0.3769942544
15	0.3670706911
16	0.3628221121
17	0.3520890463
18	0.3443684801
19	0.3402108773
20	0.3369383647
21	0.3278673582
22	0.3246861335
23	0.3219083598
24	0.314688185
25	0.3118746773
26	0.309575227
27	0.3072327418
28	0.304905549
29	0.3026391918
30	0.2968600485
31	0.2947306686
32	0.2926630234
33	0.2905333504
34	0.2881386718
35	0.2847856995
36	0.2819302827
37	0.2803167083
38	0.2788024059
39	0.2755304918
40	0.2736947067
41	0.2722209332
42	0.2706164951
43	0.2693834606
44	0.2679121956
45	0.2663968241
46	0.264998726
47	0.2638805046
48	0.2627780839
49	0.2616656379
50	0.2571672338
51	0.256180187
52	0.2550489933
53	0.2536246982
54	0.2522787554
55	0.2513547121
56	0.2504843484
57	0.2493651096
58	0.2477147432
59	0.2463807415
60	0.2450523608
61	0.2438735559
62	0.2430460303
63	0.2419521499
64	0.2410165447
65	0.2398500288
66	0.2387178093
67	0.2373487836
68	0.2359764472
69	0.2350368576
70	0.2343394283
71	0.2334238399
72	0.2323161411
73	0.2314669433
74	0.2303700424
75	0.2293547833
76	0.2279533277
77	0.2264697714
78	0.2253234556
79	0.2242484247
80	0.2233690903
81	0.2223929611
82	0.2212653069
83	0.2202828028
84	0.2190435115
85	0.2180959287
86	0.2170239428
87	0.2162180614
88	0.2154617761
89	0.2143856062
90	0.2128831931
91	0.2120234806
92	0.2110002294
93	0.2098136656
94	0.2084746655
95	0.2074069913
96	0.2065812423
97	0.2057458826
98	0.2045272019
99	0.2039618222
246363
97	0.01734365844
98	0.01693324803
99	0.01644036011
