iid,age,gender,race,imprace,imprelig,goal,date,go_out,career_c,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
1,21.0,0,4.0,2.0,4.0,2.0,7.0,1.0,6.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,2.0,8.0,9.0,2.625,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0
2,24.0,0,2.0,2.0,5.0,1.0,5.0,1.0,6.0,4.0,5.0,40.0,7.316911617676465,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,1.5608597264851731,7.0,6.5,8.0,10.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0
3,25.0,0,2.0,8.0,4.0,6.0,3.0,1.0,6.0,4.0,2.0,35.0,10.0,31.610603435343535,10.0,10.0,0.0,50.0,0.0,20.0,27.5,0.0,1.5608597264851731,8.0,9.0,9.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0
4,23.0,0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,27.5,5.0,10.0,7.0,8.0,7.0,9.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0
5,21.0,0,2.0,8.0,1.0,2.0,4.0,1.0,1.0,7.0,10.0,20.0,7.316911617676465,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,6.5,10.0,6.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
6,23.0,0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,5.0,7.0,9.0,8.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
7,22.0,0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,7.0,3.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,6.0,6.5,7.0,5.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
8,25.0,0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,6.0,10.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,27.5,5.0,5.0,7.0,6.5,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0
9,26.0,0,6.0,1.0,1.0,1.0,4.0,1.0,9.0,6.0,15.0,20.0,10.0,20.0,27.5,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,6.5,7.0,10.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0
10,26.0,0,2.0,4.0,4.0,2.0,6.0,1.0,9.0,7.0,10.0,15.0,15.0,15.0,27.5,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0,6.0,8.0,6.5,10.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
11,27.0,1,2.0,7.0,3.0,1.0,5.0,4.0,2.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,8.0,7.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0
12,22.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,19.5,40.0,7.316911617676465,8.702327607760777,27.5,0.0,0.0,25.0,15.0,25.0,20.0,15.0,1.5608597264851731,9.0,9.0,10.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
13,22.0,1,4.0,3.0,5.0,2.0,7.0,1.0,1.0,3.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0
14,23.0,1,2.0,1.0,1.0,2.0,4.0,1.0,1.0,8.0,15.0,30.0,7.316911617676465,15.0,27.5,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
15,24.0,1,3.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,9.0,7.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
16,25.0,1,2.0,9.0,2.0,1.0,5.0,1.0,7.0,7.0,10.0,40.0,7.316911617676465,30.0,10.0,0.0,10.0,50.0,5.0,30.0,7.5,5.0,5.0,6.0,6.5,8.0,8.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0
17,30.0,1,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,8.0,6.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0
18,27.0,1,2.0,8.0,8.0,1.0,6.0,1.0,7.0,5.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,8.0,6.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0
19,28.0,1,2.0,1.0,1.0,4.0,1.0,1.0,7.0,10.0,19.5,40.0,7.316911617676465,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.5,10.0,10.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0
20,24.0,1,2.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,19.0,40.0,7.316911617676465,8.702327607760777,7.5,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0
21,21.0,0,4.0,8.0,10.0,6.0,7.0,4.0,10.0,5.0,0.0,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0,5.0,9.0,9.0,7.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0
22,27.0,0,1.0,1.0,2.0,1.0,6.0,2.0,5.0,4.0,2.0,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,7.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0
23,21.0,0,4.0,9.0,6.0,1.0,1.0,1.0,3.0,5.0,3.0,10.0,20.0,31.610603435343535,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0,5.0,8.0,7.0,6.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0
24,27.0,0,2.0,2.0,3.0,2.0,6.0,4.0,9.0,5.0,3.0,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0,7.0,9.0,8.0,9.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0
25,25.0,0,2.0,10.0,2.0,1.0,5.0,2.0,9.0,5.0,4.0,20.0,20.0,15.0,15.0,15.0,15.0,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,7.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0
26,23.0,0,2.0,2.0,4.0,1.0,5.0,2.0,9.0,7.0,10.0,20.0,20.0,20.0,15.0,15.0,10.0,25.0,10.0,10.0,25.0,20.0,10.0,7.0,8.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0
27,22.0,0,3.0,1.0,5.0,1.0,6.0,2.0,9.0,5.0,4.0,17.0,10.0,18.0,20.0,25.0,10.0,30.0,5.0,15.0,20.0,10.0,20.0,6.0,6.5,7.0,7.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0
29,22.0,0,2.0,4.0,5.0,1.0,6.0,1.0,9.0,7.0,4.0,20.0,22.0,18.0,15.0,15.0,10.0,35.0,15.0,10.0,20.0,15.0,5.0,6.0,9.0,7.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0
30,23.0,0,2.0,2.0,4.0,1.0,7.0,2.0,1.0,3.0,2.0,10.0,20.0,20.0,20.0,20.0,10.0,35.0,5.0,15.0,20.0,10.0,15.0,7.0,8.0,8.0,9.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0
31,24.0,0,2.0,4.0,8.0,1.0,4.0,3.0,1.0,5.0,4.0,35.0,10.0,20.0,20.0,10.0,5.0,40.0,10.0,10.0,25.0,5.0,10.0,8.0,8.0,8.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0
